City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
E236448,1/24/2020,22450A,,F
E236449,1/24/2020,22450A,,M
T509697,1/24/2020,231235A 12500A,Other Asian,Female
T510837,1/24/2020,16028A,Black,Female
T511014,1/25/2020,22109 12500A,Hispanic,Male
T511015,1/25/2020,12500A 24603B,Hispanic,Male
T506044,1/26/2020,21950A,Other Asian,Male
T507731,1/26/2020,4000A 21453A,White,Male
T511016,1/26/2020,12500A 24601,Other,Male
E224760,1/27/2020,231235A,Unknown,F
E224761,1/27/2020,22526A,Unknown,F
E224762,1/27/2020,22526A,Unknown,F
E224763,1/27/2020,22526A,Unknown,M
E224764,1/27/2020,21453A,Unknown,F
E224765,1/27/2020,22526A,Unknown,M
E224766,1/27/2020,22526A,Unknown,M
E224767,1/27/2020,22526A,Unknown,F
E224768,1/27/2020,22526A,Unknown,F
E224769,1/27/2020,231235A,Unknown,M
E229725,1/27/2020,22101D,Unknown,F
E230468,1/27/2020,22526A,Unknown,F
E230469,1/27/2020,22526A,Unknown,F
E230470,1/27/2020,231235A,Hispanic,M
E230471,1/27/2020,231235A,Unknown,F
E230472,1/27/2020,22450A,Unknown,M
E230473,1/27/2020,22450A,Unknown,M
E230474,1/27/2020,22450A,Unknown,M
E230475,1/27/2020,22400A,Unknown,F
E230476,1/27/2020,231235A,Unknown,M
E230477,1/27/2020,22400A,Unknown,F
E230478,1/27/2020,12500A,White,M
E230479,1/27/2020,21453A,Unknown,M
E231119,1/27/2020,22526A,Black,F
E231120,1/27/2020,231235A,Asian Indian,M
E231812,1/27/2020,23123A,Unknown,M
E231813,1/27/2020,22526A,Unknown,M
E231814,1/27/2020,22526A,Unknown,F
E231815,1/27/2020,22526A,Unknown,M
E231816,1/27/2020,22450A,Other Asian,F
E231817,1/27/2020,22450A,Unknown,M
E231818,1/27/2020,22450A,Other,F
E231819,1/27/2020,22450A,Unknown,F
E231820,1/27/2020,22450A,Unknown,M
E231821,1/27/2020,22450A,Hispanic,M
E232122,1/27/2020,4000A1 16028A 12500A,Hispanic,M
E232305,1/27/2020,4454A 5200A,Other,M
E232306,1/27/2020,231235A,Black,M
E232307,1/27/2020,231235A,White,F
E232308,1/27/2020,4000A1,White,M
E236052,1/27/2020,22526A,Unknown,M
E236053,1/27/2020,22526A,Unknown,M
E236054,1/27/2020,22526A,Unknown,M
E236055,1/27/2020,22526A,Unknown,F
E236056,1/27/2020,40004A 12500A,Hispanic,F
E236057,1/27/2020,27315D1,Unknown,M
E236058,1/27/2020,40004A,Unknown,M
E236059,1/27/2020,27315E,Other,F
E236450,1/27/2020,22526A,Unknown,M
E236451,1/27/2020,22526A,Unknown,F
E236452,1/27/2020,22526A,Unknown,M
E236453,1/27/2020,22526A,Unknown,M
E236454,1/27/2020,22526A,Unknown,M
E236455,1/27/2020,21453A,Unknown,M
E236456,1/27/2020,22450A,Unknown,M
E236457,1/27/2020,21453B,Unknown,M
E236458,1/27/2020,22450A,Unknown,F
E236459,1/27/2020,22450A,Unknown,F
T510202,1/27/2020,12500A 4000A1,Hispanic,Male
E222842,1/28/2020,27315E,Unknown,M
E222843,1/28/2020,27315E,Unknown,M
E222844,1/28/2020,231235A,Unknown,M
E222845,1/28/2020,231235A,Unknown,M
E222846,1/28/2020,231235A,Unknown,M
E222847,1/28/2020,231235A,Unknown,M
E222848,1/28/2020,231235A,Unknown,F
E222849,1/28/2020,231235A,Unknown,M
E230145,1/28/2020,21663 21804A 22107,Unknown,F
E231583,1/28/2020,22350,,M
E233011,1/28/2020,16028A 40004A,,M
E235132,1/28/2020,20002A,,F
E236060,1/28/2020,22450A,White,F
E236061,1/28/2020,22450A,Asian Indian,M
E236062,1/28/2020,22450A,White,F
E236063,1/28/2020,22450A,Other Asian,F
E236064,1/28/2020,22450A,White,F
E236065,1/28/2020,22450A,Other Asian,F
E236066,1/28/2020,22450A,Asian Indian,M
E236067,1/28/2020,22450A,Hispanic,M
E236068,1/28/2020,22450A,White,M
E236069,1/28/2020,22450A,Asian Indian,M
E236070,1/28/2020,22450A,White,M
E236071,1/28/2020,22450A,Other Asian,M
E236072,1/28/2020,22450A,Other Asian,F
E236073,1/28/2020,22450A,Asian Indian,M
E236460,1/28/2020,22526A,Unknown,M
E236461,1/28/2020,22450A,Unknown,M
E236462,1/28/2020,22450A,Unknown,M
E236463,1/28/2020,22450A,Unknown,F
E236464,1/28/2020,22450A,Unknown,M
E236465,1/28/2020,22450A,Unknown,M
E236466,1/28/2020,22450A 12500A,Hispanic,M
E236467,1/28/2020,22450A,Unknown,M
E236468,1/28/2020,231235A,White,F
E236469,1/28/2020,22450A,Unknown,M
